Risk Category,Gap Count,Key Missing Focus Areas
Unbounded Consumption,7,"WAF/Shield, rate limiting, token quotas, cost monitoring, input body-size limits"
Excessive Agency,6,"Action boundaries, AgentCore Policy, transaction limits, rate alarms, financial transaction value thresholds, end-user identity propagation"
Supply Chain Vulnerabilities,5,"SCPs, model inventory, onboarding governance, adversarial evaluation, TPRM monitoring"
Training Data & Model Poisoning,5,"Model Monitor, data drift, Model Registry, Feature Store rollback, training data audit trail"
Vector & Embedding Weaknesses,6,"KB least privilege, CloudTrail logging, metadata filtering, multi-tenancy, S3 event notifications"
Non-Compliant Output,5,"Automated Reasoning, RAG controls, human-in-the-loop, compliance-driven guardrails, guardrail trace logging"
Misinformation,4,"KB data quality, source attribution, integrity monitoring with event notifications, sync cadence"
Abusive or Harmful Output,4,"FMEval, user reporting, allowlists, AI Service Cards"
Biased Output,4,"SageMaker Clarify, Bedrock Evaluations with cadence, bias datasets, AI Service Cards"
Sensitive Information Disclosure,5,"CloudWatch log masking, Macie, PII pre-processing pipeline, data classification, end-user identity propagation"
Hallucination,4,"Contextual grounding, Automated Reasoning, disclaimers, RAG"
Prompt Injection,5,"Input sanitization, prompt input validation function, parameterized queries, pen testing, SDK currency"
Improper Output Handling,4,"Output validation, sanitization, encoding, XSS prevention"
Off-Topic & Inappropriate Output,2,"Contextual grounding, topic allowlists"
Out-of-Date Training Data,3,"KB sync cadence, data currency disclaimers, FM version updates and TPRM"
